"Model","AIC","BIC","AICc"
"ETS(A,A,N)",12.596,20.228,14.739
"ETS(A,A,N)",12.596,20.228,14.739
"ETS(M,A,N)",46.082,53.714,48.225
"ETS(A,N,N)",123.279,127.858,124.079
"ETS(M,N,N)",126.01,130.589,126.81
