"age_group","model_type","error_type","trend_type","season_type","alpha","beta","gamma","phi","aic","bic","aicc","loglik","sigma2"
"All ages","ETS(A,A,N)","A","A","N",0.9996,1e-04,NA,NA,35.388,43.02,37.531,-12.694,0.070335
"Age-standardized","ETS(A,A,N)","A","A","N",0.9999,0.547,NA,NA,42.101,49.733,44.244,-16.05,0.085687
